,time,open,high,low,close,volume
0,2023-03-20 01:24:00,27717.3,27786.0,27714.6,27764.9,1137.7
1,2023-03-20 01:27:00,27764.8,27785.0,27728.0,27744.9,919.856
2,2023-03-20 01:30:00,27744.8,27800.0,27720.0,27779.3,1184.624
3,2023-03-20 01:33:00,27779.6,27808.0,27761.0,27769.6,882.312
4,2023-03-20 01:36:00,27769.6,27798.6,27740.0,27771.3,958.01
5,2023-03-20 01:39:00,27771.2,27772.3,27718.5,27720.0,625.183
6,2023-03-20 01:42:00,27720.0,27763.8,27700.8,27763.2,598.285
7,2023-03-20 01:45:00,27763.2,27770.0,27716.2,27739.7,847.661
8,2023-03-20 01:48:00,27739.8,27749.5,27705.7,27727.7,693.518
9,2023-03-20 01:51:00,27727.6,27733.0,27631.9,27663.0,2029.463
10,2023-03-20 01:54:00,27663.0,27680.0,27619.3,27676.1,1443.895
11,2023-03-20 01:57:00,27676.0,27683.5,27660.0,27667.4,731.488
12,2023-03-20 02:00:00,27667.4,27697.0,27637.1,27650.0,1116.316
13,2023-03-20 02:03:00,27650.1,27654.0,27575.0,27576.3,2829.751
14,2023-03-20 02:06:00,27576.2,27663.4,27490.0,27659.8,4197.936
15,2023-03-20 02:09:00,27659.9,27674.2,27615.2,27646.1,1176.111
16,2023-03-20 02:12:00,27646.1,27734.3,27635.3,27727.6,1695.291
17,2023-03-20 02:15:00,27727.5,27734.3,27697.9,27716.2,820.459
18,2023-03-20 02:18:00,27716.3,27716.8,27680.0,27683.1,554.483
19,2023-03-20 02:21:00,27683.1,27698.0,27667.0,27676.6,528.644
20,2023-03-20 02:24:00,27676.6,27683.4,27648.7,27679.6,556.107
21,2023-03-20 02:27:00,27679.6,27684.0,27626.0,27626.0,582.812
22,2023-03-20 02:30:00,27626.0,27654.0,27595.0,27625.6,963.084
23,2023-03-20 02:33:00,27625.6,27634.0,27581.6,27589.8,792.139
24,2023-03-20 02:36:00,27589.9,27590.2,27399.0,27419.8,6049.529
25,2023-03-20 02:39:00,27419.7,27425.4,27311.0,27356.5,7507.157
26,2023-03-20 02:42:00,27356.5,27408.1,27192.0,27297.5,6686.605
27,2023-03-20 02:45:00,27297.6,27409.0,27254.3,27380.9,3942.454
28,2023-03-20 02:48:00,27380.8,27394.0,27336.0,27355.0,1684.887
29,2023-03-20 02:51:00,27354.9,27411.8,27354.9,27411.8,1447.879
30,2023-03-20 02:54:00,27411.7,27429.5,27373.4,27404.7,1720.522
31,2023-03-20 02:57:00,27404.8,27427.0,27393.4,27423.2,938.201
32,2023-03-20 03:00:00,27423.2,27453.3,27400.0,27448.6,1345.417
33,2023-03-20 03:03:00,27448.6,27480.4,27439.0,27467.3,1864.73
34,2023-03-20 03:06:00,27467.4,27484.2,27453.8,27469.1,1131.587
35,2023-03-20 03:09:00,27468.3,27478.0,27409.6,27421.4,1215.372
36,2023-03-20 03:12:00,27421.3,27436.0,27390.2,27431.9,1217.406
37,2023-03-20 03:15:00,27431.9,27436.0,27391.6,27408.2,1004.919
38,2023-03-20 03:18:00,27408.2,27418.0,27324.0,27349.6,2208.775
39,2023-03-20 03:21:00,27349.5,27356.4,27244.7,27282.0,2568.879
40,2023-03-20 03:24:00,27281.6,27304.0,27157.0,27302.5,5481.388
41,2023-03-20 03:27:00,27302.5,27310.9,27252.5,27269.9,1536.231
42,2023-03-20 03:30:00,27270.0,27283.6,27124.8,27166.9,3932.643
43,2023-03-20 03:33:00,27166.9,27284.3,27162.5,27267.9,3061.281
44,2023-03-20 03:36:00,27267.9,27332.6,27265.7,27293.0,1655.594
45,2023-03-20 03:39:00,27292.9,27303.3,27237.9,27255.7,1080.27
46,2023-03-20 03:42:00,27255.7,27291.5,27205.3,27252.8,1750.211
47,2023-03-20 03:45:00,27252.7,27287.0,27208.8,27262.6,1471.147
48,2023-03-20 03:48:00,27262.5,27312.9,27162.2,27168.0,2126.233
49,2023-03-20 03:51:00,27166.6,27204.8,27120.6,27138.1,3945.178
50,2023-03-20 03:54:00,27138.0,27244.1,27133.1,27233.2,2427.723
51,2023-03-20 03:57:00,27233.2,27276.5,27219.7,27264.3,1922.163
52,2023-03-20 04:00:00,27264.3,27264.3,27140.0,27152.0,2128.549
