,time,open,high,low,close,volume
0,2023-03-16 01:36:00,1644.24,1645.56,1641.07,1643.03,6567.667
1,2023-03-16 01:39:00,1643.03,1644.26,1641.45,1643.25,4542.682
2,2023-03-16 01:42:00,1643.26,1643.78,1640.94,1642.42,4289.55
3,2023-03-16 01:45:00,1642.43,1645.24,1640.0,1643.61,7328.085
4,2023-03-16 01:48:00,1643.61,1645.35,1642.81,1644.88,4665.246
5,2023-03-16 01:51:00,1644.88,1647.37,1644.88,1645.93,6351.75
6,2023-03-16 01:54:00,1645.92,1648.4,1645.81,1646.16,5027.483
7,2023-03-16 01:57:00,1646.16,1646.35,1644.7,1645.3,3854.774
8,2023-03-16 02:00:00,1645.29,1645.8,1644.59,1644.94,4540.242
9,2023-03-16 02:03:00,1644.93,1646.06,1644.38,1646.06,2825.937
10,2023-03-16 02:06:00,1646.06,1650.0,1645.97,1649.1,7054.513
11,2023-03-16 02:09:00,1649.11,1649.11,1647.91,1648.3,5225.486
12,2023-03-16 02:12:00,1648.3,1649.45,1646.92,1648.99,4395.649
13,2023-03-16 02:15:00,1648.99,1649.57,1647.98,1648.77,3343.225
14,2023-03-16 02:18:00,1648.76,1649.19,1647.2,1647.81,2161.721
15,2023-03-16 02:21:00,1647.81,1651.65,1647.81,1651.51,4223.46
16,2023-03-16 02:24:00,1651.5,1653.14,1650.31,1653.14,6324.607
17,2023-03-16 02:27:00,1653.13,1654.51,1650.74,1652.31,9375.705
18,2023-03-16 02:30:00,1652.31,1652.32,1651.22,1651.79,3679.438
19,2023-03-16 02:33:00,1651.78,1651.79,1649.12,1651.07,6121.72
20,2023-03-16 02:36:00,1651.08,1651.65,1650.07,1651.64,4241.02
21,2023-03-16 02:39:00,1651.63,1652.31,1650.19,1651.64,3563.006
22,2023-03-16 02:42:00,1651.63,1651.66,1649.14,1650.72,4303.1
23,2023-03-16 02:45:00,1650.73,1651.39,1650.17,1651.04,2992.396
24,2023-03-16 02:48:00,1651.05,1651.94,1650.19,1650.87,3003.634
25,2023-03-16 02:51:00,1650.87,1652.05,1650.3,1652.05,2424.779
26,2023-03-16 02:54:00,1652.05,1652.31,1651.0,1652.26,3195.711
